"testName","timePoint","value","Positive","Negative"
"PermutationTest0",1,NA,0,0
"PermutationTest0",2,NA,0,0
"PermutationTest0",3,NA,0,0
"PermutationTest0",4,NA,0,0
"PermutationTest0",5,1.48323969741913,0,0
"PermutationTest0",6,0.2,0,0
"PermutationTest0",7,-0.266397713833066,0,0
"PermutationTest0",8,-0.351561524655326,0,0
"PermutationTest0",9,-1.29536330876512,0,0
"PermutationTest0",10,-2.91302493736567,0,1
"PermutationTest0",11,-2.23847753420914,0,1
"PermutationTest0",12,-0.897149958914611,0,0
"PermutationTest0",13,-0.767375459836802,0,0
"PermutationTest0",14,-0.37633881182726,0,0
"PermutationTest0",15,-0.807312408719244,0,0
"PermutationTest0",16,-0.202218182438054,0,0
"PermutationTest0",17,-0.129197358763176,0,0
"PermutationTest0",18,-1.33198856916533,0,0
"PermutationTest0",19,-0.863575539176746,0,0
"PermutationTest0",20,-0.774309409202218,0,0
"PermutationTest0",21,-0.658081200264627,0,0
"PermutationTest0",22,-0.146147950040262,0,0
"PermutationTest0",23,-1.03593954056562,0,0
"PermutationTest0",24,-0.760885910252682,0,0
"PermutationTest0",25,-0.538879121415332,0,0
"PermutationTest0",26,-0.810138619212109,0,0
"PermutationTest0",27,-1.02303565028183,0,0
"PermutationTest0",28,-1.03175390914319,0,0
"PermutationTest0",29,-1.30088727117598,0,0
"PermutationTest0",30,-1.20109239895175,0,0
"PermutationTest0",31,-0.921313680370478,0,0
"PermutationTest0",32,0,0,0
"PermutationTest0",33,-0.842423539174232,0,0
"PermutationTest0",34,-0.431787769588373,0,0
"PermutationTest0",35,0.978453486670299,0,0
"PermutationTest0",36,0.748385907400127,0,0
"PermutationTest0",37,1.26491106406735,0,0
"PermutationTest0",38,1.16390712814883,0,0
"PermutationTest0",39,1.46540450339343,0,0
"PermutationTest0",40,1.68822601164096,0,0
"PermutationTest0",41,1.9414506867883,0,0
"PermutationTest0",42,2.77681105076498,1,0
"PermutationTest0",43,2.3811978273095,1,0
"PermutationTest0",44,2.58984885141406,1,0
"PermutationTest0",45,2.78151794983659,1,0
"PermutationTest0",46,3.02717352121728,1,0
"PermutationTest0",47,2.6281127723494,1,0
"PermutationTest0",48,3.70809924354783,1,0
"PermutationTest0",49,2.70201498066761,1,0
"PermutationTest0",50,3.02251438711861,1,0
"PermutationTest0",51,3.08439840382424,1,0
"PermutationTest0",52,1.62120898840057,0,0
"PermutationTest0",53,-0.149677181480025,0,0
"PermutationTest0",54,-0.77109960095606,0,0
"PermutationTest0",55,-1.34263754799435,0,0
"PermutationTest0",56,-1.41679189370669,0,0
"PermutationTest0",57,-2.6,0,2
"PermutationTest0",58,-3.95367916596282,0,2
"PermutationTest0",59,-3.36969415669693,0,2
"PermutationTest0",60,-1.06673850332814,0,0
"PermutationTest0",61,-1.24632023213838,0,0
"PermutationTest0",62,-1.04774027036018,0,0
"PermutationTest0",63,0,0,0
"PermutationTest0",64,1.89409637510004,0,0
"PermutationTest0",65,0.714285714285714,0,0
"PermutationTest0",66,0,0,0
"PermutationTest0",67,0,0,0
"PermutationTest0",68,0.277350098112615,0,0
"PermutationTest0",69,0.397359707119513,0,0
"PermutationTest0",70,0.741619848709566,0,0
"PermutationTest0",71,0.804399666539844,0,0
"PermutationTest0",72,0.377964473009227,0,0
"PermutationTest0",73,0.45557345160942,0,0
"PermutationTest0",74,0,0,0
"PermutationTest0",75,1.59325501363138,0,0
"PermutationTest0",76,-1.33198856916533,0,0
"PermutationTest0",77,0,0,0
"PermutationTest0",78,-1.04671750242388,0,0
"PermutationTest0",79,-1.60315110265499,0,0
"PermutationTest0",80,-0.289774853375608,0,0
"PermutationTest0",81,-2.39904521771815,0,3
"PermutationTest0",82,-1.87616630392937,0,0
"PermutationTest0",83,-0.517969770282812,0,0
"PermutationTest0",84,-0.452734960102905,0,0
"PermutationTest0",85,-1.29536330876512,0,0
"PermutationTest0",86,-0.283358378741338,0,0
"PermutationTest0",87,0.109168034721633,0,0
"PermutationTest0",88,1.14605097435537,0,0
"PermutationTest0",89,0.837930581596392,0,0
"PermutationTest0",90,0.157577599214693,0,0
"PermutationTest0",91,0.422348645526866,0,0
"PermutationTest0",92,1.05542600433802,0,0
"PermutationTest0",93,0.834387518869721,0,0
"PermutationTest0",94,-0.184541939824473,0,0
"PermutationTest0",95,0,0,0
"PermutationTest0",96,-0.131616240052925,0,0
"PermutationTest0",97,0.405190207776066,0,0
"PermutationTest0",98,-0.632455532033676,0,0
"PermutationTest0",99,0,0,0
"PermutationTest0",100,-1.25356634105602,0,0
